Sample,SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,MnO,longitude,latitude,block,samplecomp,Sc,V,Cr,Mn,Co,Ni,Cu,Zn,Rb,Sr,Y,Zr,Nb,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,Ta,W,Th,U
B-14,57.4,17.9,7.07,3.05,5.39,4,2.07,0.89,0.29,0.13,-118.61,34.68,SanGabriel,b-14,14.87,124.89,17.31,0.15,19.29,17.71,13.14,93.2,82.8,452.91,28.81,186.35,14.99,1.47,1.7,547.31,40.6,83.95,10.64,42.84,10.17,1.8,7.3,1.13,6.54,1.5,3.86,0.52,3.47,5.78,1.2,0.44,19.38,2.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-15,63.2,16.2,5.61,2.3,4.55,3.48,2.37,0.75,0.23,0.09,-118.6,34.66,SanGabriel,b-15,9.71,108.36,26.78,0.11,20.34,39.92,12.35,84.12,88.7,573.96,13.89,142.72,13.02,2.24,1.61,858.95,34.2,72.39,8.03,32.39,6.1,1.64,4.2,0.73,3.58,0.57,1.79,0.31,1.4,4.18,0.78,0.29,11.94,1.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-16,62.3,16.5,5.65,2.32,4.99,3.51,2.26,0.8,0.26,0.09,-118.55,34.68,SanGabriel,b-16,11.17,111.14,20.82,0.1,14.95,11.64,13.95,68.69,77.5,630.2,18.65,197.74,15.41,1.45,1.09,865.05,34.22,72.58,8.86,35.92,7.78,1.76,5.24,0.73,4.07,0.97,2.05,0.15,1.93,5.41,1.22,0.23,12.69,2.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-17,68,14.9,3.94,1.22,3.03,3.36,3.41,0.54,0.16,0.06,-118.53,34.71,SanGabriel,b-17,6.5,50.46,26.3,0.07,8.71,9.73,4.33,64.65,141,335.76,9.45,184.32,11.42,1.73,5.33,678.86,28.14,58.99,6.35,26.3,5.45,0.88,3.59,0.34,2.59,0.33,1.71,0.21,1.39,6.17,0.9,0.66,25.37,4.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-18,72.9,14.3,1.9,0.33,1.74,3.65,3.65,0.2,0.09,0.04,-118.5,34.68,SanGabriel,b-18,1.38,10.06,22.15,0.05,2.38,18.54,4.67,43.94,120,462.11,11.56,133.96,11.04,2.02,1.54,1326.88,32.71,61,6.52,25.78,4.73,0.78,3.16,0.46,3.09,0.62,1.69,0.4,1.93,4.05,0.92,0.71,16.36,1.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-19,74.6,13.2,1.46,0.21,0.66,3.6,4.96,0.21,0.07,0.05,-118.48,34.71,SanGabriel,b-19,4.52,10.24,32.51,0.08,1.47,53.1,9.81,37.05,181,102.64,25.66,198.08,24.43,3.2,1.48,600.91,34.48,84.88,8.87,29.95,6.57,1.16,4.85,0.87,5.22,1.34,3.61,0.93,4.16,6.87,2.17,1.03,38.73,3.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-20,74.5,13.6,1.1,0.14,1.13,3.14,4.83,0.11,0.06,0.04,-118.46,34.65,SanGabriel,b-20,2.94,1.1,12.09,0.05,0.84,15.82,3.09,24.26,195,236.34,13.98,75.42,13.09,1.43,2.29,796.95,17.8,36.61,4.29,14.77,3,0.65,2.69,0.66,2.55,0.58,1.72,0.34,1.79,2.6,1.23,0.23,20.31,2.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-21,65.3,16.1,4.29,1.42,3.95,3.79,2.63,0.81,0.25,0.07,-118.43,34.68,SanGabriel,b-21,6.95,65.02,10.02,0.08,7.67,4.47,5.85,83.54,76,782.71,15.02,203.29,15.21,1.37,1.23,1210.19,32.79,68.96,8.15,33.01,6.29,1.44,4.29,0.64,3.09,0.49,1.26,0.22,1.27,4.5,0.97,0.23,6.94,1.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-22,61.6,17.2,5.67,2.09,4.7,3.5,2.88,0.69,0.24,0.09,-118.43,34.62,SanGabriel,b-22,11.05,95.31,17.11,0.11,13.89,9.62,14.01,82.96,110,646.91,17.87,188.48,11.39,1.58,1.15,1283.51,61,112.29,12.24,43.07,6.23,1.53,4.22,0.61,3.65,0.68,1.94,0.26,1.63,4.69,0.46,0.18,18.62,1.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
