Sample,SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,MnO,longitude,latitude,block,samplecomp,Sc,V,Cr,Mn,Co,Ni,Cu,Zn,Rb,Sr,Y,Zr,Nb,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,Ta,W,Th,U
B-59,64.9,16.3,4.41,1.48,3.91,3.9,2.84,0.73,0.26,0.08,-117.3323,34.3039,SanBernardino,b-59,11.07,75.35,17.23,0.1,9.89,3.83,19.02,69.49,103,575.7,22.9,214.69,18.81,1.81,1.42,915.95,45.92,92.33,10.79,42.03,7.79,1.72,6.44,0.9,4.76,0.85,2.82,0.35,2.48,5.48,1.58,0.22,19,2.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-60,67.6,15.4,3.59,1.01,3.21,3.5,3.53,0.56,0.21,0.05,-117.3162,34.3037,SanBernardino,b-60,7.62,96.9,17.21,0.1,14.59,4.1,17.27,73.59,110,534.9,18.05,180.9,13.84,1.27,1.87,557.74,37.7,76.95,9.59,36.46,7.83,1.63,5.4,0.89,4.27,0.79,2.31,0.27,2.52,5.24,1.16,0.2,19.38,2.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-61,61.8,16.6,5.96,2.34,4.92,3.59,2.33,0.82,0.25,0.09,-117.3208,34.273,SanBernardino,b-61,5.33,61.5,21.86,0.08,8.51,3.48,35.26,64.78,109,795.23,17.59,209.21,16.83,1.71,1.52,1768.95,45.86,95.09,10.45,38.57,8.87,1.59,5.08,1.07,3.9,0.49,1.66,0.19,1.56,4.69,1.18,0.2,17.74,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-62,63.9,16.4,4.74,1.5,4.04,3.82,2.78,0.83,0.27,0.07,-117.287,34.2726,SanBernardino,b-62,6.21,69.84,15.86,0.08,9.74,24.1,31.84,26.06,91.6,716.2,21.15,288.27,16.56,3.12,1.09,1183.89,41.39,97.93,12.28,46.56,8.11,1.82,5.67,0.79,4.57,0.74,2.28,0.39,2.14,7.61,1.34,0.29,13.48,3.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-64,73.6,13.8,1.68,0.22,1.4,3.45,4.47,0.17,0.08,0.05,-117.2311,34.334,SanBernardino,b-64,3.57,9.08,21.67,0.08,1.61,2.9,20.13,36.7,190,261.23,19.52,131.27,21.25,1.27,1.66,710.2,23.92,52.28,5.79,19.75,4.09,0.74,3.63,0.56,3.5,0.6,2.23,0.36,2.4,4.18,1.94,0.25,19.46,2.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-66,66.2,15.6,3.95,1.48,3.42,3.35,3.61,0.61,0.21,0.06,-117.194,34.3186,SanBernardino,b-66,6.3,68.81,12.53,0.07,8.56,1.44,14.68,55.23,95.8,520.73,8.11,138.66,6.62,0.81,1.02,726.02,19.92,40.04,4.7,19.55,4,1.04,2.7,0.4,2.09,0.38,1.14,0.07,0.79,3.9,0.61,0.13,8.47,1.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-67,67.6,15.1,3.69,1.41,3.28,3.54,3.13,0.5,0.17,0.07,-117.176,34.3059,SanBernardino,b-67,7.35,86.57,16.51,0.1,11.46,1.37,20.93,36.61,85.2,557.2,10.04,117.38,8.59,2.21,0.96,1044,23.49,50.55,6.05,21.41,4.12,1.31,2.41,0.45,2.34,0.63,1.42,0.37,1.37,3.57,0.83,0.29,7.05,2.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-68,73.2,13.9,1.87,0.32,1.57,3.19,4.42,0.2,0.09,0.05,-117.2283,34.2762,SanBernardino,b-68,1.58,11.62,14.51,0.07,1.73,16.66,18.79,46.78,127,377.75,11.53,140.37,10.23,1.29,0.98,1383.48,33.75,68.07,7.11,25.71,4.52,1.16,3.05,0.48,2.27,0.62,1.23,0.34,1.52,3.73,0.71,0.19,13.41,1.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-69,69.8,14.9,2.94,0.83,2.82,3.59,3.34,0.47,0.17,0.05,-117.234,34.261,SanBernardino,b-69,1.65,39.72,22.12,0.07,5.87,5.53,21.14,57.87,106,526.82,9.52,160.26,9.82,1.37,0.98,866.95,25.03,55.85,6.41,25.2,4.8,1.04,3.11,0.45,2.11,0.41,1.04,0.22,0.73,4.41,0.91,0.29,10.48,1.62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-70,63.8,16,4.99,1.85,4.23,3.42,3,0.78,0.25,0.07,-117.281,34.229,SanBernardino,b-70,10.11,91.34,23.41,0.09,10.8,17.64,17.36,71.56,116,656.2,17.42,187.44,13.59,1.87,2.13,1022.27,36.97,75.68,8.83,34.53,6.56,1.58,4.61,0.68,3.35,0.64,1.78,0.22,1.48,4.62,1.09,0.2,18.4,2.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-71,68,15.3,3.61,1.02,3.15,3.68,3.2,0.54,0.19,0.06,-117.2382,34.2262,SanBernardino,b-71,6.73,49.03,17.68,0.09,7.15,4.96,25.9,76.19,124,509.62,12.97,177.03,12.13,1.74,1.34,696.45,28.59,59.55,7.1,24.97,5.22,1.21,3.9,0.53,2.81,0.51,1.46,0.24,1.12,4.67,0.99,0.27,12.61,5.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-72,73.3,13.6,1.76,0.23,1.29,3.18,4.72,0.19,0.08,0.05,-117.1924,34.2344,SanBernardino,b-72,3.14,17.86,26.21,0.06,1.94,6.31,14.46,28.8,191,239.87,19.44,182.45,16.4,2.26,2.14,895.03,38.78,86.41,8.88,34.58,6.27,1.14,5.11,0.81,3.99,0.85,2.05,0.26,1.84,5.89,1.49,0.34,27.73,3.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-74,63.1,15.8,5.34,2.46,4.41,3.51,2.43,0.81,0.26,0.09,-117.197,34.364,SanBernardino,b-74,10.44,125.77,28.02,0.13,17.35,5.81,14.6,66.91,68.9,660.18,15.55,142.61,9.55,1.43,1.15,803.17,30.02,59.65,6.58,24.9,5.08,1.4,3.83,0.66,3.69,0.65,1.93,0.31,1.41,3.74,0.86,0.19,10.16,1.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-75,73.5,13.9,1.64,0.35,1.72,3.56,3.95,0.2,0.09,0.05,-117.2075,34.3526,SanBernardino,b-75,2.72,21.58,18.39,0.08,2.69,12.71,17.53,32.61,123,279.54,13.05,78.1,10.98,1.3,1.78,687.51,17.58,36.88,4.1,15.41,3.45,0.71,2.87,0.5,2.5,0.51,1.36,0.3,1.52,2.65,1.17,0.25,10.43,2.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-76,67.1,16.1,2.88,0.52,1.04,4.81,5.29,0.49,0.14,0.1,-117.1694,34.3809,SanBernardino,b-76,11.49,29.14,11.46,0.14,2.17,24.36,17.97,46.96,101,174.02,31.33,535.32,11.19,1.68,0.8,1403.06,82.37,183.25,19.18,71.09,10.97,2.37,8.01,1.36,6.2,1.28,4.11,0.58,3.67,10.7,0.7,0.45,11.42,1.42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-77,66.1,16.8,2.89,0.25,0.98,5.62,5.57,0.33,0.13,0.12,-117.166,34.3977,SanBernardino,b-77,9.87,14.59,8.92,0.14,1.26,2.49,15.42,52.09,75.7,130.18,53.45,820.27,9.77,1.06,0.42,1266.36,70.38,176.29,21.14,77.71,14.84,2.14,11.25,1.85,10.24,2.17,6.28,0.81,4.94,14.07,0.71,0.27,6.86,0.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-80,65.9,15.3,4.58,1.9,3.65,3.49,2.73,0.66,0.23,0.08,-117.1907,34.356,SanBernardino,b-80,7.41,88.94,23.36,0.1,10.63,11.78,12.28,35.08,78.1,593.27,15.52,160.81,11.42,1.85,0.93,995.49,23.92,51.84,6.73,24.33,5.18,1.57,3.68,0.57,2.73,0.59,1.77,0.25,1.45,4.36,0.95,0.23,10.18,2.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-81,70.5,14,3.13,0.83,1.96,3.73,3.7,0.5,0.18,0.08,-117.0597,34.3589,SanBernardino,b-81,6.98,35.6,11.89,0.09,4.92,4.18,19.67,35.2,69.7,359.36,22.79,388.26,10.04,2.21,1.04,2071.46,70.69,137.44,15.44,53.92,8.78,1.97,6.57,0.8,4.52,1.21,3.01,0.42,2.78,11.38,1.28,0.2,15.06,2.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-82,72.3,13.9,2.26,0.51,1.34,3.86,4.53,0.32,0.13,0.08,-117.002,34.352,SanBernardino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-83,61.3,16.6,5.66,1.36,3.75,4.35,4.94,0.55,0.33,0.14,-117.002,34.373,SanBernardino,b-83,4.89,72.72,11.69,0.11,9.59,4.69,29.22,57.17,164,988.67,20.86,218.06,11.56,2.12,1.52,2082.99,80.82,156.66,17.67,63.57,11.16,2.98,8.38,1.1,5.49,1.1,3.29,0.46,3.65,9.32,1.42,0.62,39.87,6.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-84,64.1,17.3,3.62,0.81,2.05,6,3.47,0.64,0.19,0.14,-116.964,34.34,SanBernardino,b-84,8.64,24.91,12.81,0.18,3.43,2.27,18.85,62.6,64,375.29,30.7,779.87,10.38,1.74,0.86,2197.26,71.74,153.15,16.31,61.51,10.02,3.03,6.69,1.07,5.52,1,3.32,0.5,3.02,13.82,0.45,0.62,8.89,1.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-85,68.7,14.8,3.41,0.93,2.57,3.44,4.11,0.54,0.23,0.08,-116.9078,34.4069,SanBernardino,b-85,7.38,42.13,15.51,0.09,5.33,3.28,14.44,43.12,163,391.99,27.41,235.94,15.01,1.61,1.9,1132.26,42.02,92.79,9.94,36.27,7.23,1.6,5.12,0.78,4.62,1.05,3.13,0.47,3.45,6.57,0.98,0.35,16.55,2.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-86,76.7,12.4,0.98,0.1,0.69,3.22,4.78,0.1,0.06,0.02,-117.1246,34.4766,SanBernardino,b-86,0.55,0,35.06,0.03,0.35,3.22,22,7.92,133,46.84,6.09,40.15,5.73,1.59,2.09,137.87,13.07,27.46,2.84,9.89,1.65,0.59,1.15,0.23,1.09,0.22,0.42,0.14,0.56,1.41,0.37,0.33,28.65,1.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-87,59.2,19.1,4.34,0.64,4.24,4.84,5.43,0.5,0.19,0.14,-117.0862,34.4702,SanBernardino,b-87,4.44,87.27,9.93,0.18,7.56,2.23,42.79,76.95,146,1701.16,22.14,77.96,8.55,2.21,1.82,1927.94,46.83,95.77,11.12,40.25,7.89,2.01,5.78,0.77,3.69,0.74,1.98,0.29,1.58,2.26,0.52,0.38,12.05,2.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-88,59.6,18.9,4.53,0.46,3.49,4.74,6.1,0.56,0.19,0.14,-117.0588,34.4552,SanBernardino,b-88,4.44,88.39,13.06,0.17,6.42,3.45,81.48,62.69,150,1444.21,24.22,204.44,11.58,2.65,1.2,1824.41,45,104.2,13.17,47.93,9.72,2.09,6.38,1.03,4.65,0.99,2.56,0.33,2.26,4.39,0.74,0.94,8.11,1.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-89,61,19,3.62,0.55,4.08,4.72,5.07,0.44,0.19,0.14,-117.0622,34.4847,SanBernardino,b-89,4.84,61.74,10.85,0.16,5.27,0.99,27.86,67.32,130,1465.11,22.26,179.4,8.8,1.22,1.79,1866.9,49.43,96.75,10.7,38.63,7.13,2.14,5.42,0.79,4.09,0.92,2.27,0.27,2.43,4.44,0.52,0.25,13.19,2.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-90,64.6,18.1,2.27,0.17,2.53,5.13,5.43,0.21,0.11,0.11,-117.0387,34.4902,SanBernardino,b-90,0.72,30.27,11.39,0.13,1.91,3.39,22.45,42.63,167,1212.02,15.02,155.17,8.7,0.99,2.81,1846.74,24.22,47.64,5.16,18.62,4.03,1.11,2.82,0.59,2.47,0.94,1.78,0.34,1.49,3.98,0.59,0.36,10.84,2.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-91,68.2,16.4,1.78,0.1,1.65,5.1,5.38,0.14,0.08,0.1,-117.0032,34.4688,SanBernardino,b-91,2.41,34.8,23.55,0.12,1.44,63.3,45.33,53.57,189,993.65,14.4,129.35,11.44,2.69,5.35,1888.11,13.7,25.2,3.32,12.37,2.8,0.86,2.04,0.47,2.09,0.45,1.83,0.37,2.74,3.99,0.43,0.61,4.62,1.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-92,64.4,18.6,1.81,0.1,1.82,6.13,5.47,0.19,0.1,0.09,-116.9933,34.4755,SanBernardino,b-92,4.95,45.87,9.68,0.11,7.11,3.59,68.82,70.35,186,1284.91,17.1,168.1,17.27,1.26,3.12,2204.57,19.89,34.53,3.82,15.19,3.17,0.98,2.68,0.44,2.51,0.51,1.77,0.34,2.04,4.76,0.65,0.29,5.82,2.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-93,65.2,17.8,1.97,0.14,2.03,5.24,5.79,0.19,0.09,0.07,-116.995,34.451,SanBernardino,b-93,0,40.01,25.14,0.1,1.49,15.48,60.67,52.33,182,1097.12,13.58,118.83,16.27,2.11,2.61,2392.4,35.95,68.6,7.36,23.29,4.4,1.44,3.25,0.56,2.94,0.77,1.48,0.28,1.63,3.73,0.57,0.44,11.2,2.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-94,71.5,14.5,2.15,0.43,1.75,3.36,4.84,0.33,0.12,0.04,-116.824,34.4844,SanBernardino,b-94,9.72,24.85,21.44,0.04,4.41,1.65,19.84,35.17,112,366.33,7.28,197.81,13.38,1.39,1.03,1397.23,48.69,109.81,12.36,41.37,6.7,1,3.35,0.62,2.16,0.43,1.16,0.15,1.36,5.7,1.36,0.39,19.08,1.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-95,72.4,14,1.8,0.34,1.48,3.35,4.9,0.29,0.12,0.04,-116.805,34.477,SanBernardino,b-95,4.19,16.59,10.05,0.05,1.84,4.48,19.97,60.57,200,335.98,10.53,216.07,17.2,1.57,1.31,1208.87,38.03,80.77,9.16,32.51,5.52,1.15,3.55,0.57,2.31,0.47,1.1,0.1,1.2,5.83,1.6,0.36,19.02,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-96,73.4,13.9,1.71,0.37,1.71,3.6,3.79,0.19,0.13,0.06,-116.763,34.4257,SanBernardino,b-96,2.34,9.76,15.19,0.06,2.51,1.38,20.25,22.37,138,299.63,13.53,76.6,11.36,2.18,1.11,885.23,25.35,55.27,6.24,19.78,4.13,1.18,3.23,0.63,2.93,0.72,1.85,0.38,2.31,3.16,1.31,0.44,15.65,2.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-97,62.5,16.4,5.04,2.17,4.44,3.66,3.2,0.69,0.24,0.07,-116.6989,34.4485,SanBernardino,b-97,7.37,95.2,27.98,0.08,15.42,8.97,23.99,66.02,109,659.3,15.13,178.99,10.51,2.25,1.24,1117.77,33.8,72.59,8.45,31.61,5.8,1.25,4.06,0.55,3.13,0.64,1.48,0.67,1.39,4.83,0.84,0.22,12.41,1.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-98,66.8,15.4,3.59,1.16,2.45,4.36,4.37,0.63,0.2,0.08,-116.6904,34.4797,SanBernardino,b-98,9.37,51,28.21,0.1,9.53,6.7,24.3,43.43,97.1,233.86,24.85,236.01,19.25,2.1,0.73,414.85,33.92,66.66,7.47,26.59,5.18,1.37,4.39,0.56,4.35,0.88,2.39,0.58,2.53,5.26,1.26,0.28,10.7,1.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-99,64.8,15.5,4.1,1.51,3.75,3.25,4.63,0.68,0.27,0.05,-116.57,34.519,SanBernardino,b-99,11.99,79.95,24.42,0.06,9.39,9.05,37.3,27.36,105,494.53,33.91,259.22,16.43,2.05,1.09,1491.99,51.15,110.98,12.85,49.07,8.68,1.97,6.89,1,5.89,1.25,3.65,0.59,3.56,6.62,1.01,0.33,17.12,2.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-100,73.1,14.6,1.08,0.18,1.95,3.73,3.97,0.09,0.06,0.04,-116.5414,34.4478,SanBernardino,b-100,9.06,5.77,16.34,0.04,0,4.23,22.55,31.29,103,419.21,2.93,57.62,5.76,2.05,0.34,1384.78,5.06,9.95,1.05,4.17,0.71,0.58,0.44,0.14,0.9,0.19,0.61,0.05,0.98,1.75,0.21,0.26,0.61,0.37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-101,68.7,15,3.1,1.06,2.78,3.56,3.84,0.47,0.18,0.06,-116.5778,34.4258,SanBernardino,b-101,4.63,57.58,16.71,0.06,7.76,48.09,20.32,33.49,167,495.15,10.2,151.84,11.91,1.98,1.48,987.1,33.48,71.91,7.45,27.17,4.49,1.16,2.79,0.47,2.19,0.53,1.07,0.14,1.07,4.71,1.19,0.21,161.9,10.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-102,67.6,15.6,3.23,1.15,3.07,3.62,3.82,0.52,0.19,0.05,-116.5346,34.4157,SanBernardino,b-102,6.48,59.02,23.81,0.06,7.14,4.26,26.48,80.95,144,563.73,12.85,176.22,13.62,1.35,1.37,1182.31,37.99,80.06,8.38,33.22,6.23,1.19,3.68,0.61,2.44,0.59,1.28,0.22,1.43,4.74,1.08,0.33,15.13,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-103,69.7,14.8,2.85,0.8,2.26,3.47,4.15,0.41,0.17,0.05,-116.5276,34.3024,SanBernardino,b-103,6.06,40.32,29.4,0.07,6.3,26.44,28.46,73.42,161,454.66,11.18,188.25,14.18,1.45,1.25,1096.27,39.13,80.42,8.64,30.07,5.5,1.14,3.55,0.49,2.35,0.37,1.25,0.2,0.93,4.75,1.19,0.31,20.82,2.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-104,68.6,15.6,3.04,1,2.57,3.88,3.72,0.4,0.17,0.06,-116.5096,34.2985,SanBernardino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-105,75.4,13,1.38,0.26,0.92,3.75,4.24,0.19,0.08,0.04,-116.5057,34.2771,SanBernardino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-106,71.6,14.1,2.39,0.63,1.92,3.49,4.02,0.33,0.15,0.05,-116.5338,34.2755,SanBernardino,b-106,5.8,34.71,24.33,0.06,4.37,5.54,19.3,31.79,184,413.01,12.44,192.46,14.88,1.66,1.54,935.54,30.61,68.09,7.63,26.4,4.23,0.97,2.89,0.48,2.23,0.4,1.86,0.19,1.18,6.04,1.54,0.21,27.41,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-107,70.5,14.7,2.34,0.66,2.09,3.58,4.14,0.36,0.15,0.05,-116.5282,34.2431,SanBernardino,b-107,5.69,33.23,18.53,0.06,5.39,3.78,15.68,37.8,180,447.01,9.95,161.2,12.35,1.66,1.75,893.74,32.75,68.06,7.4,23.21,3.89,1.13,2.72,0.64,1.95,0.54,0.85,0.18,1.02,4.2,1.37,0.28,16.74,2.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-108,64,15.7,5.58,2.31,4.2,3.69,2.61,0.55,0.2,0.09,-116.6355,34.3273,SanBernardino,b-108,15.87,81.68,37.34,0.11,17.86,16.72,58.48,72.79,96.1,338.71,37.11,201.83,12.99,2.31,0.85,757.3,54.74,112.42,12.71,43.94,8.37,1.45,7,1.18,6.93,1.4,4.09,0.61,3.86,5.29,0.81,0.66,17.23,1.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-109,75,12.5,2.12,0.27,0.86,2.7,5.12,0.22,0.07,0.02,-116.6226,34.3086,SanBernardino,b-109,0,10.66,29.26,0.03,2.81,1.49,29.54,18.18,180,73.9,10.66,134.51,11.13,2.25,0.69,1091.95,44.52,108.05,10.23,33.6,7.1,0.97,4.76,0.65,3.57,0.82,1.69,0.21,1.76,6,0.95,1.13,32.57,2.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-110,75.6,12.5,1.81,0.26,0.95,2.72,4.83,0.18,0.08,0.02,-116.5997,34.2953,SanBernardino,b-110,3.21,10.04,23.99,0.03,4.61,0.67,16.21,9.82,180,92.92,19.07,224.79,13.28,3.21,0.83,836.19,30.42,60.2,6.27,20.08,4.48,0.48,3.21,0.57,3.12,0.71,1.98,0.3,2.15,6.17,0.6,0.56,28.28,2.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-111,75.5,12.6,1.29,0.16,0.78,2.38,5.93,0.15,0.07,0.02,-116.5904,34.2658,SanBernardino,b-111,4.2,7.1,24.94,0.03,2.05,2.63,13.94,13.52,158,106.54,21.66,101.95,6.43,2.24,1.42,581.46,32,77.73,8.77,31.3,6.47,1.14,5.15,0.72,4.75,1.13,3.14,0.42,3.33,3.99,0.88,0.39,33.4,2.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-112,75,12.2,2.22,0.48,0.89,2.73,4.71,0.22,0.08,0.03,-116.5637,34.2639,SanBernardino,b-112,11.97,8.74,17.77,0.04,3.58,3.44,19.14,22.44,131,171.56,26.93,189.63,9.87,1.91,1.2,1122.19,35.68,78.83,8.99,34.49,7.38,1.43,6.13,1.03,5.99,1.18,3.79,0.67,3.06,6.39,0.72,0.54,13.21,1.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-113,75.2,12.3,2.03,0.24,0.83,2.7,5.03,0.21,0.07,0.02,-116.5948,34.2401,SanBernardino,b-113,5.68,10.67,20.5,0.03,5.1,4.73,19.48,18.56,215,53.31,23.56,52.42,12.17,1.51,0.71,597.45,26.61,58.73,6.33,22.2,4.88,0.71,4.31,0.98,4.43,1.2,3.11,0.62,2.8,1.9,0.98,0.69,31.25,1.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-114,77.5,11.6,1.27,0.12,0.7,2.49,4.98,0.12,0.06,0.02,-116.6287,34.266,SanBernardino,b-114,1.24,4.12,24.58,0.02,2.42,3.23,30.9,8.4,153,58.16,10.01,168.44,6.83,2.54,0.7,505.82,46.58,97.6,10.43,33.18,6.39,0.34,4.49,0.68,2.62,0.39,1,0.17,0.91,5.83,0.38,0.92,46.76,1.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-115,73.6,14.3,1.27,0.26,1.2,3.72,4.04,0.13,0.08,0.11,-116.7028,34.2626,SanBernardino,b-115,2.78,10.24,20.72,0.16,1.55,2.06,19.21,38.8,200,231.22,25.95,71.88,24.69,1.38,1.5,397.28,16.32,33.37,4.28,13.89,3.29,0.59,3.27,0.58,3.87,0.84,2.65,0.38,2.45,2.68,2.35,0.48,9.42,1.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-116,63.3,15.9,5.17,2.16,4.38,3.31,2.99,0.65,0.22,0.09,-116.708,34.328,SanBernardino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-117,71.2,15,2.25,0.54,2.45,3.91,2.98,0.25,0.11,0.06,-116.7364,34.2916,SanBernardino,b-117,3.85,20.04,20.85,0.07,2.47,3.58,21.98,50.18,102,488.36,13.36,122.1,10.4,2.5,0.65,676.25,31.19,59.73,6.65,24.03,4.48,1.22,3.51,0.46,2.94,0.57,1.53,0.18,1.44,3.74,0.74,0.31,13.8,1.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-118,72.5,14.5,1.94,0.4,1.75,3.34,4.24,0.21,0.11,0.05,-116.7779,34.3195,SanBernardino,b-118,3.23,21.87,16.43,0.06,1.77,3.87,24.17,36.56,168,334.36,14.02,110.99,13.54,1.65,1.72,756.32,20.94,41.87,5.02,17.79,3.45,0.95,2.78,0.5,2.47,0.53,1.57,0.27,1.49,3.15,1.32,0.29,12.44,1.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-120,72.1,13.8,2.7,0.53,1.48,3.03,4.85,0.33,0.11,0.05,-116.8791,34.2887,SanBernardino,b-120,8.5,26.29,25.97,0.08,4.08,5.21,48.01,33.58,186,217.82,32.68,234.01,15.31,1.93,1.29,927.25,52.96,107.01,11.79,43.64,8.74,1.22,6.27,0.93,6.26,1.18,3.73,0.57,3.31,6.38,1.41,0.6,26.27,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-121,68,14.5,3.88,1.08,2.46,3.53,4.17,0.62,0.24,0.09,-116.902,34.265,SanBernardino,b-121,7.32,52.06,15.83,0.11,7.83,3.71,34.64,51.45,140,306.74,34.82,276.28,16.23,2.59,1.24,797.52,44.53,93.3,10.72,41,8.54,1.78,6.73,1.01,6.32,1.22,3.68,0.65,3.75,6.9,1.09,0.61,16.18,1.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
